16	4	0
15	5	0
16	4	0
17	3	0
17	3	0
18	2	0
15	5	0
13	7	0
17	3	0
16	4	0
17	3	0
17	3	0
15	5	0
13	7	0
16	4	0
16	4	0
15	5	0
14	6	0
16	4	0
14	6	0
17	3	0
14	6	0
15	5	0
15	5	0
15	5	0
16	4	0
16	4	0
15	5	0
16	4	0
16	4	0
15	5	0
17	3	0
16	4	0
17	3	0
16	4	0
16	4	0
14	6	0
15	5	0
15	5	0
16	4	0
14	6	0
16	4	0
15	5	0
16	4	0
17	3	0
16	4	0
16	4	0
15	5	0
15	5	0
15	5	0
15	5	0
17	3	0
16	4	0
12	8	0
16	4	0
15	5	0
15	5	0
15	5	0
17	3	0
16	4	0
15	5	0
15	5	0
15	5	0
17	3	0
17	3	0
13	7	0
18	2	0
16	4	0
17	3	0
15	5	0
16	4	0
17	3	0
16	4	0
16	4	0
16	4	0
17	3	0
16	4	0
15	5	0
15	5	0
16	4	0
13	7	0
15	5	0
13	7	0
16	4	0
13	7	0
17	3	0
14	6	0
14	6	0
14	6	0
16	4	0
13	7	0
16	4	0
18	2	0
15	5	0
14	6	0
16	4	0
16	4	0
18	2	0
14	6	0
16	4	0
15	5	0
16	4	0
14	6	0
16	4	0
16	4	0
17	3	0
16	4	0
16	4	0
18	2	0
14	6	0
15	5	0
16	4	0
16	4	0
15	5	0
13	7	0
17	3	0
16	4	0
16	4	0
16	4	0
16	4	0
17	3	0
15	5	0
14	6	0
17	3	0
14	6	0
16	4	0
15	5	0
16	4	0
12	8	0
15	5	0
14	6	0
15	5	0
17	3	0
17	3	0
15	5	0
17	3	0
15	5	0
16	4	0
17	3	0
15	5	0
13	7	0
17	3	0
15	5	0
16	4	0
14	6	0
16	4	0
16	4	0
16	4	0
15	5	0
15	5	0
16	4	0
14	6	0
12	8	0
17	3	0
15	5	0
15	5	0
16	4	0
16	4	0
15	5	0
16	4	0
17	3	0
16	4	0
16	4	0
16	4	0
15	5	0
16	4	0
15	5	0
16	4	0
16	4	0
15	5	0
16	4	0
16	4	0
17	3	0
15	5	0
18	2	0
14	6	0
14	6	0
16	4	0
17	3	0
17	3	0
15	5	0
16	4	0
14	6	0
17	3	0
16	4	0
16	4	0
16	4	0
17	3	0
17	3	0
15	5	0
14	6	0
16	4	0
15	5	0
14	6	0
16	4	0
15	5	0
16	4	0
14	6	0
17	3	0
14	6	0
16	4	0
17	3	0
15	5	0
15	5	0
16	4	0
16	4	0
15	5	0
15	5	0
15	5	0
17	3	0
13	7	0
16	4	0
16	4	0
15	5	0
16	4	0
16	4	0
17	3	0
15	5	0
17	3	0
16	4	0
16	4	0
15	5	0
16	4	0
15	5	0
14	6	0
16	4	0
15	5	0
17	3	0
16	4	0
16	4	0
16	4	0
14	6	0
16	4	0
16	4	0
15	5	0
15	5	0
14	6	0
15	5	0
14	6	0
17	3	0
17	3	0
16	4	0
16	4	0
15	5	0
15	5	0
17	3	0
17	3	0
17	3	0
14	6	0
15	5	0
13	7	0
17	3	0
14	6	0
16	4	0
15	5	0
15	5	0
17	3	0
16	4	0
13	7	0
15	5	0
17	3	0
17	3	0
16	4	0
14	6	0
13	7	0
16	4	0
16	4	0
16	4	0
15	5	0
15	5	0
15	5	0
14	6	0
15	5	0
16	4	0
15	5	0
15	5	0
16	4	0
17	3	0
16	4	0
15	5	0
16	4	0
16	4	0
16	4	0
16	4	0
17	3	0
17	3	0
16	4	0
17	3	0
17	3	0
17	3	0
14	6	0
16	4	0
16	4	0
17	3	0
15	5	0
13	7	0
15	5	0
16	4	0
15	5	0
15	5	0
16	4	0
13	7	0
16	4	0
16	4	0
15	5	0
15	5	0
16	4	0
17	3	0
17	3	0
17	3	0
14	6	0
15	5	0
14	6	0
16	4	0
17	3	0
13	7	0
16	4	0
14	6	0
18	2	0
18	2	0
16	4	0
15	5	0
14	6	0
16	4	0
16	4	0
17	3	0
13	7	0
15	5	0
16	4	0
15	5	0
15	5	0
17	3	0
16	4	0
15	5	0
14	6	0
17	3	0
15	5	0
16	4	0
15	5	0
16	4	0
15	5	0
17	3	0
15	5	0
16	4	0
17	3	0
14	6	0
15	5	0
17	3	0
15	5	0
16	4	0
17	3	0
16	4	0
15	5	0
16	4	0
16	4	0
14	6	0
16	4	0
16	4	0
16	4	0
16	4	0
17	3	0
15	5	0
17	3	0
17	3	0
12	8	0
16	4	0
16	4	0
16	4	0
15	5	0
15	5	0
17	3	0
15	5	0
15	5	0
15	5	0
17	3	0
16	4	0
13	7	0
16	4	0
18	2	0
17	3	0
18	2	0
18	2	0
14	6	0
15	5	0
13	7	0
17	3	0
17	3	0
15	5	0
15	5	0
16	4	0
14	6	0
15	5	0
16	4	0
14	6	0
17	3	0
15	5	0
14	6	0
16	4	0
17	3	0
15	5	0
15	5	0
15	5	0
15	5	0
14	6	0
11	9	0
15	5	0
15	5	0
15	5	0
14	6	0
16	4	0
16	4	0
16	4	0
15	5	0
14	6	0
17	3	0
14	6	0
16	4	0
16	4	0
15	5	0
14	6	0
15	5	0
17	3	0
17	3	0
16	4	0
17	3	0
15	5	0
12	8	0
14	6	0
14	6	0
16	4	0
14	6	0
16	4	0
15	5	0
15	5	0
16	4	0
16	4	0
16	4	0
14	6	0
14	6	0
15	5	0
16	4	0
15	5	0
15	5	0
16	4	0
14	6	0
15	5	0
15	5	0
17	3	0
16	4	0
17	3	0
15	5	0
15	5	0
16	4	0
17	3	0
14	6	0
17	3	0
16	4	0
15	5	0
14	6	0
14	6	0
15	5	0
12	8	0
15	5	0
12	8	0
15	5	0
16	4	0
13	7	0
14	6	0
17	3	0
17	3	0
16	4	0
15	5	0
17	3	0
16	4	0
15	5	0
15	5	0
17	3	0
17	3	0
16	4	0
16	4	0
15	5	0
17	3	0
12	8	0
16	4	0
16	4	0
13	7	0
16	4	0
17	3	0
15	5	0
17	3	0
17	3	0
15	5	0
14	6	0
15	5	0
17	3	0
15	5	0
15	5	0
16	4	0
15	5	0
17	3	0
16	4	0
17	3	0
15	5	0
13	7	0
16	4	0
16	4	0
15	5	0
16	4	0
16	4	0
14	6	0
15	5	0
16	4	0
15	5	0
14	6	0
16	4	0
17	3	0
16	4	0
16	4	0
14	6	0
13	7	0
15	5	0
17	3	0
15	5	0
15	5	0
16	4	0
15	5	0
16	4	0
17	3	0
15	5	0
17	3	0
17	3	0
16	4	0
13	7	0
14	6	0
15	5	0
14	6	0
15	5	0
16	4	0
15	5	0
17	3	0
17	3	0
16	4	0
15	5	0
15	5	0
16	4	0
15	5	0
16	4	0
16	4	0
16	4	0
16	4	0
16	4	0
16	4	0
15	5	0
16	4	0
13	7	0
16	4	0
13	7	0
15	5	0
13	7	0
16	4	0
17	3	0
16	4	0
13	7	0
15	5	0
16	4	0
17	3	0
14	6	0
16	4	0
16	4	0
16	4	0
14	6	0
15	5	0
14	6	0
14	6	0
13	7	0
12	8	0
16	4	0
15	5	0
16	4	0
16	4	0
16	4	0
13	7	0
15	5	0
16	4	0
14	6	0
14	6	0
16	4	0
16	4	0
17	3	0
16	4	0
14	6	0
13	7	0
17	3	0
16	4	0
16	4	0
17	3	0
15	5	0
14	6	0
14	6	0
15	5	0
15	5	0
16	4	0
14	6	0
17	3	0
16	4	0
14	6	0
17	3	0
16	4	0
17	3	0
16	4	0
16	4	0
14	6	0
14	6	0
13	7	0
17	3	0
15	5	0
15	5	0
14	6	0
14	6	0
15	5	0
15	5	0
12	8	0
16	4	0
15	5	0
16	4	0
17	3	0
17	3	0
15	5	0
17	3	0
16	4	0
15	5	0
15	5	0
16	4	0
19	1	0
16	4	0
16	4	0
15	5	0
16	4	0
16	4	0
14	6	0
16	4	0
16	4	0
16	4	0
15	5	0
16	4	0
14	6	0
17	3	0
14	6	0
16	4	0
17	3	0
17	3	0
16	4	0
17	3	0
16	4	0
16	4	0
15	5	0
16	4	0
17	3	0
16	4	0
16	4	0
17	3	0
15	5	0
15	5	0
18	2	0
18	2	0
15	5	0
13	7	0
16	4	0
17	3	0
14	6	0
14	6	0
16	4	0
15	5	0
16	4	0
17	3	0
14	6	0
16	4	0
15	5	0
16	4	0
15	5	0
15	5	0
16	4	0
16	4	0
14	6	0
17	3	0
17	3	0
17	3	0
16	4	0
15	5	0
15	5	0
16	4	0
16	4	0
14	6	0
16	4	0
15	5	0
15	5	0
16	4	0
17	3	0
16	4	0
14	6	0
16	4	0
13	7	0
14	6	0
15	5	0
16	4	0
14	6	0
17	3	0
15	5	0
15	5	0
16	4	0
17	3	0
18	2	0
18	2	0
12	8	0
17	3	0
16	4	0
17	3	0
16	4	0
15	5	0
17	3	0
16	4	0
15	5	0
13	7	0
16	4	0
13	7	0
17	3	0
17	3	0
17	3	0
14	6	0
17	3	0
15	5	0
14	6	0
16	4	0
15	5	0
13	7	0
16	4	0
15	5	0
16	4	0
16	4	0
16	4	0
14	6	0
16	4	0
14	6	0
15	5	0
17	3	0
16	4	0
16	4	0
15	5	0
17	3	0
17	3	0
16	4	0
15	5	0
15	5	0
15	5	0
17	3	0
16	4	0
17	3	0
15	5	0
15	5	0
14	6	0
17	3	0
15	5	0
14	6	0
15	5	0
15	5	0
14	6	0
17	3	0
16	4	0
15	5	0
16	4	0
16	4	0
16	4	0
16	4	0
17	3	0
14	6	0
16	4	0
17	3	0
16	4	0
17	3	0
16	4	0
15	5	0
16	4	0
16	4	0
17	3	0
15	5	0
15	5	0
16	4	0
12	8	0
15	5	0
16	4	0
16	4	0
16	4	0
16	4	0
16	4	0
15	5	0
16	4	0
15	5	0
15	5	0
17	3	0
14	6	0
15	5	0
16	4	0
16	4	0
16	4	0
16	4	0
13	7	0
17	3	0
15	5	0
16	4	0
14	6	0
17	3	0
15	5	0
16	4	0
16	4	0
14	6	0
16	4	0
17	3	0
14	6	0
15	5	0
12	8	0
15	5	0
17	3	0
16	4	0
15	5	0
13	7	0
14	6	0
12	8	0
15	5	0
16	4	0
15	5	0
14	6	0
16	4	0
17	3	0
14	6	0
14	6	0
14	6	0
14	6	0
12	8	0
15	5	0
13	7	0
17	3	0
17	3	0
13	7	0
13	7	0
13	7	0
15	5	0
16	4	0
14	6	0
15	5	0
15	5	0
16	4	0
15	5	0
17	3	0
16	4	0
13	7	0
16	4	0
15	5	0
14	6	0
14	6	0
15	5	0
14	6	0
17	3	0
17	3	0
14	6	0
17	3	0
15	5	0
16	4	0
16	4	0
14	6	0
17	3	0
16	4	0
15	5	0
15	5	0
14	6	0
16	4	0
16	4	0
17	3	0
16	4	0
15	5	0
14	6	0
17	3	0
16	4	0
17	3	0
15	5	0
16	4	0
16	4	0
16	4	0
17	3	0
16	4	0
14	6	0
17	3	0
16	4	0
16	4	0
15	5	0
14	6	0
14	6	0
15	5	0
14	6	0
13	7	0
18	2	0
15	5	0
16	4	0
17	3	0
14	6	0
13	7	0
17	3	0
15	5	0
17	3	0
15	5	0
16	4	0
17	3	0
17	3	0
16	4	0
13	7	0
16	4	0
15	5	0
17	3	0
13	7	0
17	3	0
15	5	0
16	4	0
16	4	0
15	5	0
13	7	0
18	2	0
16	4	0
17	3	0
16	4	0
16	4	0
15	5	0
14	6	0
16	4	0
17	3	0
15	5	0
17	3	0
17	3	0
18	2	0
16	4	0
17	3	0
17	3	0
15	5	0
15	5	0
15	5	0
15	5	0
15	5	0
16	4	0
15	5	0
17	3	0
14	6	0
15	5	0
17	3	0
17	3	0
15	5	0
15	5	0
16	4	0
16	4	0
14	6	0
14	6	0
15	5	0
16	4	0
15	5	0
14	6	0
16	4	0
14	6	0
17	3	0
15	5	0
16	4	0
15	5	0
16	4	0
15	5	0
16	4	0
15	5	0
15	5	0
16	4	0
14	6	0
12	8	0
14	6	0
16	4	0
17	3	0
14	6	0
16	4	0
16	4	0
13	7	0
15	5	0
14	6	0
15	5	0
15	5	0
14	6	0
16	4	0
16	4	0
15	5	0
17	3	0
14	6	0
17	3	0
16	4	0
15	5	0
14	6	0
16	4	0
16	4	0
17	3	0
18	2	0
15	5	0
16	4	0
15	5	0
16	4	0
16	4	0
16	4	0
14	6	0
17	3	0
16	4	0
17	3	0
15	5	0
16	4	0
15	5	0
15	5	0
16	4	0
15	5	0
17	3	0
14	6	0
16	4	0
16	4	0
16	4	0
15	5	0
16	4	0
16	4	0
16	4	0
14	6	0
14	6	0
15	5	0
11	9	0
16	4	0
15	5	0
16	4	0
17	3	0
15	5	0
13	7	0
16	4	0
17	3	0
17	3	0
17	3	0
16	4	0
15	5	0
15	5	0
17	3	0
12	8	0
15	5	0
15	5	0
16	4	0
16	4	0
15	5	0
15	5	0
17	3	0
16	4	0
16	4	0
16	4	0
11	9	0
15	5	0
15	5	0
16	4	0
12	8	0
16	4	0
15	5	0
16	4	0
16	4	0
17	3	0
14	6	0
17	3	0
15	5	0
15	5	0
14	6	0
16	4	0
13	7	0
18	2	0
15	5	0
17	3	0
16	4	0
16	4	0
16	4	0
15	5	0
16	4	0
16	4	0
16	4	0
16	4	0
17	3	0
17	3	0
15	5	0
17	3	0
17	3	0
16	4	0
16	4	0
17	3	0
15	5	0
14	6	0
16	4	0
15	5	0
11	9	0
17	3	0
16	4	0
16	4	0
17	3	0
16	4	0
16	4	0
15	5	0
16	4	0
14	6	0
15	5	0
16	4	0
17	3	0
15	5	0
16	4	0
16	4	0
15	5	0
15	5	0
16	4	0
17	3	0
16	4	0
16	4	0
17	3	0
16	4	0
18	2	0
15	5	0
17	3	0
15	5	0
16	4	0
16	4	0
17	3	0
15	5	0
17	3	0
17	3	0
16	4	0
15	5	0
17	3	0
17	3	0
13	7	0
16	4	0
16	4	0
15	5	0
16	4	0
15	5	0
16	4	0
15	5	0
15	5	0
16	4	0
14	6	0
15	5	0
14	6	0
15	5	0
15	5	0
14	6	0
17	3	0
16	4	0
16	4	0
17	3	0
14	6	0
14	6	0
14	6	0
16	4	0
17	3	0
16	4	0
15	5	0
18	2	0
14	6	0
17	3	0
16	4	0
17	3	0
16	4	0
15	5	0
16	4	0
14	6	0
14	6	0
16	4	0
16	4	0
17	3	0
16	4	0
16	4	0
15	5	0
18	2	0
16	4	0
15	5	0
13	7	0
18	2	0
15	5	0
17	3	0
16	4	0
17	3	0
15	5	0
14	6	0
15	5	0
17	3	0
16	4	0
15	5	0
15	5	0
15	5	0
15	5	0
15	5	0
16	4	0
16	4	0
17	3	0
15	5	0
13	7	0
15	5	0
14	6	0
15	5	0
15	5	0
17	3	0
16	4	0
15	5	0
14	6	0
16	4	0
15	5	0
15	5	0
16	4	0
14	6	0
15	5	0
14	6	0
15	5	0
14	6	0
15	5	0
16	4	0
16	4	0
15	5	0
16	4	0
17	3	0
15	5	0
15	5	0
16	4	0
15	5	0
18	2	0
14	6	0
15	5	0
14	6	0
14	6	0
17	3	0
14	6	0
17	3	0
15	5	0
17	3	0
16	4	0
13	7	0
15	5	0
15	5	0
14	6	0
16	4	0
15	5	0
15	5	0
16	4	0
13	7	0
16	4	0
16	4	0
15	5	0
15	5	0
16	4	0
12	8	0
16	4	0
16	4	0
15	5	0
16	4	0
13	7	0
15	5	0
15	5	0
16	4	0
17	3	0
18	2	0
16	4	0
15	5	0
14	6	0
18	2	0
16	4	0
16	4	0
17	3	0
16	4	0
16	4	0
14	6	0
16	4	0
15	5	0
16	4	0
15	5	0
16	4	0
14	6	0
17	3	0
16	4	0
16	4	0
14	6	0
17	3	0
14	6	0
15	5	0
16	4	0
16	4	0
15	5	0
15	5	0
16	4	0
16	4	0
15	5	0
16	4	0
15	5	0
14	6	0
16	4	0
17	3	0
16	4	0
14	6	0
15	5	0
16	4	0
17	3	0
17	3	0
17	3	0
15	5	0
15	5	0
17	3	0
15	5	0
15	5	0
16	4	0
15	5	0
14	6	0
16	4	0
16	4	0
16	4	0
16	4	0
15	5	0
17	3	0
16	4	0
14	6	0
14	6	0
17	3	0
15	5	0
15	5	0
15	5	0
13	7	0
16	4	0
18	2	0
12	8	0
16	4	0
13	7	0
16	4	0
15	5	0
18	2	0
15	5	0
15	5	0
15	5	0
15	5	0
14	6	0
15	5	0
15	5	0
16	4	0
15	5	0
17	3	0
14	6	0
16	4	0
14	6	0
15	5	0
18	2	0
15	5	0
14	6	0
16	4	0
13	7	0
15	5	0
16	4	0
15	5	0
16	4	0
15	5	0
16	4	0
15	5	0
17	3	0
14	6	0
14	6	0
18	2	0
15	5	0
13	7	0
14	6	0
16	4	0
15	5	0
15	5	0
16	4	0
17	3	0
17	3	0
14	6	0
17	3	0
14	6	0
14	6	0
15	5	0
14	6	0
17	3	0
14	6	0
14	6	0
14	6	0
16	4	0
15	5	0
17	3	0
16	4	0
17	3	0
17	3	0
14	6	0
16	4	0
14	6	0
15	5	0
15	5	0
16	4	0
16	4	0
17	3	0
14	6	0
16	4	0
14	6	0
17	3	0
17	3	0
17	3	0
16	4	0
17	3	0
16	4	0
17	3	0
17	3	0
17	3	0
13	7	0
16	4	0
14	6	0
16	4	0
15	5	0
19	1	0
17	3	0
16	4	0
14	6	0
18	2	0
15	5	0
16	4	0
16	4	0
16	4	0
14	6	0
15	5	0
17	3	0
17	3	0
14	6	0
17	3	0
14	6	0
15	5	0
14	6	0
16	4	0
14	6	0
14	6	0
16	4	0
16	4	0
15	5	0
16	4	0
17	3	0
15	5	0
17	3	0
16	4	0
14	6	0
15	5	0
15	5	0
17	3	0
15	5	0
15	5	0
16	4	0
15	5	0
16	4	0
16	4	0
13	7	0
16	4	0
15	5	0
16	4	0
16	4	0
14	6	0
17	3	0
15	5	0
13	7	0
15	5	0
17	3	0
17	3	0
15	5	0
15	5	0
15	5	0
17	3	0
14	6	0
16	4	0
16	4	0
15	5	0
16	4	0
13	7	0
15	5	0
14	6	0
15	5	0
17	3	0
15	5	0
15	5	0
17	3	0
13	7	0
17	3	0
15	5	0
17	3	0
13	7	0
17	3	0
12	8	0
16	4	0
16	4	0
14	6	0
17	3	0
17	3	0
17	3	0
16	4	0
13	7	0
16	4	0
16	4	0
14	6	0
15	5	0
16	4	0
15	5	0
14	6	0
17	3	0
15	5	0
16	4	0
17	3	0
15	5	0
16	4	0
18	2	0
16	4	0
16	4	0
16	4	0
16	4	0
14	6	0
16	4	0
17	3	0
17	3	0
15	5	0
15	5	0
15	5	0
16	4	0
15	5	0
14	6	0
15	5	0
16	4	0
15	5	0
15	5	0
15	5	0
15	5	0
14	6	0
16	4	0
18	2	0
17	3	0
16	4	0
17	3	0
16	4	0
15	5	0
17	3	0
16	4	0
16	4	0
18	2	0
15	5	0
16	4	0
15	5	0
16	4	0
14	6	0
16	4	0
17	3	0
15	5	0
12	8	0
12	8	0
16	4	0
16	4	0
15	5	0
14	6	0
16	4	0
16	4	0
16	4	0
16	4	0
14	6	0
16	4	0
17	3	0
15	5	0
12	8	0
15	5	0
15	5	0
15	5	0
15	5	0
14	6	0
16	4	0
17	3	0
15	5	0
16	4	0
16	4	0
17	3	0
16	4	0
16	4	0
16	4	0
16	4	0
15	5	0
17	3	0
15	5	0
16	4	0
17	3	0
15	5	0
16	4	0
14	6	0
17	3	0
17	3	0
16	4	0
15	5	0
14	6	0
16	4	0
14	6	0
16	4	0
16	4	0
16	4	0
16	4	0
16	4	0
14	6	0
13	7	0
14	6	0
16	4	0
16	4	0
16	4	0
15	5	0
15	5	0
15	5	0
16	4	0
16	4	0
15	5	0
15	5	0
15	5	0
16	4	0
16	4	0
16	4	0
14	6	0
17	3	0
16	4	0
17	3	0
14	6	0
16	4	0
13	7	0
15	5	0
17	3	0
16	4	0
16	4	0
16	4	0
16	4	0
13	7	0
16	4	0
15	5	0
15	5	0
14	6	0
15	5	0
16	4	0
16	4	0
14	6	0
16	4	0
16	4	0
15	5	0
15	5	0
15	5	0
14	6	0
17	3	0
14	6	0
13	7	0
15	5	0
13	7	0
15	5	0
15	5	0
17	3	0
15	5	0
15	5	0
16	4	0
15	5	0
17	3	0
14	6	0
17	3	0
17	3	0
13	7	0
16	4	0
15	5	0
15	5	0
15	5	0
17	3	0
15	5	0
17	3	0
16	4	0
16	4	0
16	4	0
16	4	0
14	6	0
16	4	0
16	4	0
17	3	0
15	5	0
16	4	0
17	3	0
14	6	0
15	5	0
15	5	0
16	4	0
16	4	0
15	5	0
16	4	0
17	3	0
14	6	0
13	7	0
15	5	0
17	3	0
16	4	0
15	5	0
16	4	0
14	6	0
17	3	0
14	6	0
15	5	0
15	5	0
16	4	0
15	5	0
17	3	0
16	4	0
15	5	0
17	3	0
15	5	0
16	4	0
15	5	0
14	6	0
16	4	0
16	4	0
17	3	0
18	2	0
13	7	0
15	5	0
17	3	0
15	5	0
14	6	0
15	5	0
16	4	0
17	3	0
14	6	0
16	4	0
16	4	0
16	4	0
14	6	0
15	5	0
17	3	0
15	5	0
17	3	0
16	4	0
16	4	0
15	5	0
15	5	0
12	8	0
19	1	0
16	4	0
13	7	0
15	5	0
14	6	0
14	6	0
14	6	0
14	6	0
16	4	0
17	3	0
16	4	0
17	3	0
17	3	0
15	5	0
16	4	0
14	6	0
16	4	0
14	6	0
15	5	0
15	5	0
16	4	0
17	3	0
16	4	0
16	4	0
15	5	0
18	2	0
18	2	0
18	2	0
16	4	0
16	4	0
16	4	0
14	6	0
17	3	0
15	5	0
16	4	0
15	5	0
16	4	0
14	6	0
16	4	0
17	3	0
16	4	0
13	7	0
14	6	0
14	6	0
16	4	0
15	5	0
16	4	0
17	3	0
16	4	0
16	4	0
14	6	0
15	5	0
16	4	0
15	5	0
17	3	0
16	4	0
15	5	0
15	5	0
14	6	0
13	7	0
18	2	0
14	6	0
16	4	0
17	3	0
15	5	0
16	4	0
13	7	0
15	5	0
18	2	0
12	8	0
17	3	0
15	5	0
15	5	0
15	5	0
16	4	0
12	8	0
16	4	0
16	4	0
16	4	0
16	4	0
15	5	0
15	5	0
16	4	0
17	3	0
15	5	0
15	5	0
16	4	0
16	4	0
15	5	0
16	4	0
14	6	0
15	5	0
16	4	0
16	4	0
16	4	0
16	4	0
16	4	0
15	5	0
15	5	0
15	5	0
16	4	0
15	5	0
15	5	0
15	5	0
15	5	0
13	7	0
17	3	0
17	3	0
14	6	0
16	4	0
15	5	0
13	7	0
17	3	0
16	4	0
14	6	0
16	4	0
15	5	0
14	6	0
16	4	0
15	5	0
15	5	0
17	3	0
15	5	0
16	4	0
15	5	0
14	6	0
16	4	0
15	5	0
15	5	0
14	6	0
16	4	0
17	3	0
17	3	0
16	4	0
16	4	0
16	4	0
15	5	0
16	4	0
14	6	0
14	6	0
17	3	0
14	6	0
15	5	0
15	5	0
16	4	0
17	3	0
12	8	0
17	3	0
14	6	0
17	3	0
15	5	0
15	5	0
15	5	0
14	6	0
17	3	0
12	8	0
15	5	0
14	6	0
14	6	0
14	6	0
16	4	0
17	3	0
15	5	0
14	6	0
16	4	0
17	3	0
17	3	0
15	5	0
16	4	0
17	3	0
16	4	0
16	4	0
16	4	0
15	5	0
16	4	0
15	5	0
17	3	0
17	3	0
14	6	0
16	4	0
17	3	0
18	2	0
14	6	0
16	4	0
17	3	0
15	5	0
16	4	0
15	5	0
15	5	0
14	6	0
15	5	0
17	3	0
15	5	0
12	8	0
16	4	0
17	3	0
15	5	0
18	2	0
16	4	0
15	5	0
16	4	0
17	3	0
16	4	0
14	6	0
15	5	0
15	5	0
16	4	0
16	4	0
16	4	0
16	4	0
15	5	0
16	4	0
16	4	0
17	3	0
16	4	0
14	6	0
15	5	0
15	5	0
16	4	0
15	5	0
16	4	0
14	6	0
16	4	0
16	4	0
17	3	0
17	3	0
13	7	0
16	4	0
16	4	0
13	7	0
17	3	0
14	6	0
15	5	0
14	6	0
16	4	0
17	3	0
17	3	0
16	4	0
16	4	0
15	5	0
15	5	0
13	7	0
14	6	0
16	4	0
14	6	0
15	5	0
16	4	0
13	7	0
15	5	0
17	3	0
17	3	0
16	4	0
15	5	0
16	4	0
18	2	0
14	6	0
15	5	0
16	4	0
17	3	0
15	5	0
15	5	0
17	3	0
17	3	0
16	4	0
16	4	0
15	5	0
15	5	0
17	3	0
16	4	0
16	4	0
17	3	0
17	3	0
16	4	0
16	4	0
15	5	0
17	3	0
15	5	0
15	5	0
15	5	0
14	6	0
15	5	0
15	5	0
16	4	0
14	6	0
14	6	0
16	4	0
16	4	0
16	4	0
17	3	0
15	5	0
15	5	0
16	4	0
16	4	0
17	3	0
16	4	0
16	4	0
15	5	0
16	4	0
15	5	0
15	5	0
15	5	0
16	4	0
15	5	0
15	5	0
13	7	0
13	7	0
17	3	0
17	3	0
16	4	0
15	5	0
15	5	0
16	4	0
13	7	0
17	3	0
15	5	0
17	3	0
16	4	0
18	2	0
15	5	0
15	5	0
17	3	0
17	3	0
14	6	0
14	6	0
15	5	0
14	6	0
14	6	0
15	5	0
14	6	0
15	5	0
17	3	0
16	4	0
16	4	0
15	5	0
15	5	0
11	9	0
16	4	0
14	6	0
16	4	0
14	6	0
15	5	0
16	4	0
18	2	0
16	4	0
15	5	0
17	3	0
15	5	0
14	6	0
15	5	0
16	4	0
16	4	0
15	5	0
16	4	0
16	4	0
15	5	0
16	4	0
16	4	0
16	4	0
12	8	0
14	6	0
16	4	0
18	2	0
16	4	0
18	2	0
14	6	0
15	5	0
15	5	0
17	3	0
16	4	0
16	4	0
15	5	0
15	5	0
17	3	0
17	3	0
16	4	0
16	4	0
16	4	0
17	3	0
16	4	0
16	4	0
14	6	0
15	5	0
15	5	0
16	4	0
16	4	0
18	2	0
16	4	0
17	3	0
18	2	0
16	4	0
18	2	0
14	6	0
14	6	0
17	3	0
13	7	0
14	6	0
14	6	0
15	5	0
16	4	0
15	5	0
14	6	0
16	4	0
15	5	0
15	5	0
15	5	0
15	5	0
16	4	0
14	6	0
14	6	0
15	5	0
16	4	0
15	5	0
15	5	0
15	5	0
15	5	0
15	5	0
16	4	0
15	5	0
15	5	0
14	6	0
15	5	0
16	4	0
15	5	0
16	4	0
15	5	0
15	5	0
16	4	0
18	2	0
17	3	0
15	5	0
17	3	0
16	4	0
16	4	0
16	4	0
15	5	0
15	5	0
15	5	0
15	5	0
15	5	0
15	5	0
17	3	0
15	5	0
16	4	0
14	6	0
16	4	0
17	3	0
14	6	0
14	6	0
16	4	0
15	5	0
14	6	0
15	5	0
15	5	0
12	8	0
14	6	0
16	4	0
16	4	0
15	5	0
17	3	0
15	5	0
17	3	0
16	4	0
16	4	0
17	3	0
16	4	0
13	7	0
17	3	0
16	4	0
16	4	0
17	3	0
17	3	0
15	5	0
16	4	0
16	4	0
16	4	0
14	6	0
16	4	0
14	6	0
17	3	0
15	5	0
16	4	0
15	5	0
16	4	0
16	4	0
16	4	0
16	4	0
17	3	0
15	5	0
12	8	0
14	6	0
16	4	0
16	4	0
16	4	0
16	4	0
15	5	0
17	3	0
16	4	0
16	4	0
17	3	0
15	5	0
17	3	0
14	6	0
15	5	0
15	5	0
16	4	0
15	5	0
15	5	0
14	6	0
16	4	0
14	6	0
16	4	0
14	6	0
16	4	0
16	4	0
16	4	0
18	2	0
11	9	0
16	4	0
16	4	0
17	3	0
16	4	0
17	3	0
16	4	0
15	5	0
17	3	0
14	6	0
13	7	0
15	5	0
15	5	0
15	5	0
16	4	0
15	5	0
16	4	0
15	5	0
16	4	0
13	7	0
17	3	0
15	5	0
16	4	0
16	4	0
18	2	0
15	5	0
16	4	0
16	4	0
17	3	0
16	4	0
16	4	0
16	4	0
13	7	0
15	5	0
17	3	0
16	4	0
17	3	0
13	7	0
15	5	0
17	3	0
16	4	0
14	6	0
14	6	0
15	5	0
17	3	0
13	7	0
14	6	0
15	5	0
16	4	0
17	3	0
16	4	0
15	5	0
18	2	0
12	8	0
14	6	0
15	5	0
14	6	0
17	3	0
15	5	0
17	3	0
15	5	0
16	4	0
15	5	0
16	4	0
17	3	0
16	4	0
16	4	0
13	7	0
17	3	0
16	4	0
16	4	0
17	3	0
15	5	0
14	6	0
15	5	0
15	5	0
15	5	0
17	3	0
15	5	0
